studentnummer,naam,email,leeftijd,geslacht,vooropleiding,sector,opleiding,crebocode,cohort,niveau,leerweg,intakedatum,aanwezigheid,voortgang,bsa_studiepunten,cijfer_nederlands,cijfer_rekenen,mentor_naam,mentor_email,uitgevallen
20220014,Rick van Kasteelen,r.vankasteelen@student.roc.nl,21,V,VMBO-T,Groen,Medewerker voedsel,97590,2022-2023,2,BBL,2022-09-01,0.691,0.671,35,7.4,3.9,Jan de Vries,j.devries@roc.nl,False
20220015,Milo Bud,m.bud@student.roc.nl,16,M,VMBO-T,Groen,Medewerker voedsel,97590,2022-2023,2,BBL,2022-09-01,0.875,0.678,26,6.0,7.7,Fatima El Amrani,f.elamrani@roc.nl,False
20230016,Collin Oversteeg,c.oversteeg@student.roc.nl,19,V,MBO niveau 2,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.903,0.822,51,6.6,6.2,Jan de Vries,j.devries@roc.nl,False
20220017,Olaf Lage,o.lage@student.roc.nl,18,M,VMBO-B,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.327,0.482,34,7.0,7.7,Peter Smit,p.smit@roc.nl,True
20230018,Silke Soos,s.soos@student.roc.nl,16,V,VMBO-K,Zorg,Verzorgende IG,93500,2023-2024,3,BOL,2023-09-01,0.876,0.753,49,6.4,7.0,Peter Smit,p.smit@roc.nl,False
20220019,Imke Schagen,i.schagen@student.roc.nl,23,V,VMBO-T,Economie,Commercieel medewerker,90111,2022-2023,3,BBL,2022-09-01,0.871,0.803,31,6.9,5.8,Jan de Vries,j.devries@roc.nl,False
20230020,Vince van den Oever,v.vandenoever@student.roc.nl,18,M,VMBO-T,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.626,0.543,30,3.4,5.3,Anita Jansen,a.jansen@roc.nl,True
20230021,Jules Doornhem,j.doornhem@student.roc.nl,22,M,MBO niveau 3,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.712,0.745,36,7.0,8.8,Mohammed Boukhari,m.boukhari@roc.nl,False
20230022,Hailey van Beaumont-Giselmeyer,h.vanbeaumont-giselmeyer@student.roc.nl,26,V,VMBO-K,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.673,0.633,44,7.2,6.8,Fatima El Amrani,f.elamrani@roc.nl,False
20230023,Twan Leguit,t.leguit@student.roc.nl,16,V,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BBL,2023-09-01,0.542,0.474,25,5.1,5.8,Anita Jansen,a.jansen@roc.nl,False
20230024,Brent Volcke,b.volcke@student.roc.nl,20,M,VMBO-K,Economie,Logistiek medewerker,90640,2023-2024,3,BOL,2023-09-01,0.872,0.697,40,7.3,6.8,Peter Smit,p.smit@roc.nl,False
20220025,Sanne Arnold,s.arnold@student.roc.nl,19,V,VMBO-T,Groen,Medewerker voedsel,97590,2022-2023,2,BOL,2022-09-01,0.574,0.591,26,7.0,7.2,Mohammed Boukhari,m.boukhari@roc.nl,False
20220026,Azra van Doorn,a.vandoorn@student.roc.nl,22,V,MBO niveau 2,Economie,Logistiek medewerker,90640,2022-2023,3,BOL,2022-09-01,0.39,0.58,34,7.4,8.6,Anita Jansen,a.jansen@roc.nl,False
20230027,Rens die Pelser-Pauwels,r.diepelser-pauwels@student.roc.nl,22,V,MBO niveau 3,Groen,Dierverzorger,97730,2023-2024,3,BBL,2023-09-01,0.81,0.788,43,5.7,6.7,Anita Jansen,a.jansen@roc.nl,False
20230028,Milan van Westfalen,m.vanwestfalen@student.roc.nl,18,V,HAVO,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BOL,2023-09-01,0.609,0.611,32,6.3,6.8,Jan de Vries,j.devries@roc.nl,False
20220029,Daphne van der Klein-Vegt,d.vanderklein-vegt@student.roc.nl,21,V,VMBO-T,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.762,0.79,44,5.3,5.3,Jan de Vries,j.devries@roc.nl,False
20220030,Lot van Mare,l.vanmare@student.roc.nl,17,V,HAVO,Zorg,Verzorgende IG,93500,2022-2023,3,BOL,2022-09-01,0.667,0.563,42,7.9,7.5,Anita Jansen,a.jansen@roc.nl,True
20220031,Hailey van Buuren-Haack,h.vanbuuren-haack@student.roc.nl,20,M,VMBO-K,Economie,Manager handel,90202,2022-2023,4,BOL,2022-09-01,0.555,0.662,34,7.9,6.5,Fatima El Amrani,f.elamrani@roc.nl,False
20230032,Aimée Mijsberg,a.mijsberg@student.roc.nl,24,V,VMBO-K,Economie,Manager handel,90202,2023-2024,4,BOL,2023-09-01,0.927,0.858,47,7.0,6.4,Peter Smit,p.smit@roc.nl,False
20230033,Indy Maaswinkel,i.maaswinkel@student.roc.nl,26,X,MBO niveau 2,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.647,0.724,36,6.4,7.1,Peter Smit,p.smit@roc.nl,True
20230034,Ivan van Arnsberg-Rijn,i.vanarnsberg-rijn@student.roc.nl,16,V,VMBO-B,Economie,Manager handel,90202,2023-2024,4,BOL,2023-09-01,0.822,0.84,47,6.7,6.9,Mohammed Boukhari,m.boukhari@roc.nl,False
20220035,Amber Knuf-Mathol,a.knuf-mathol@student.roc.nl,22,M,VMBO-K,Dienstverlening,Kok,25185,2022-2023,2,BBL,2022-09-01,0.876,0.784,44,6.1,9.1,Peter Smit,p.smit@roc.nl,True
20230036,Thijs van Saksen,t.vansaksen@student.roc.nl,17,M,MBO niveau 3,Zorg,Helpende Zorg & Welzijn,92640,2023-2024,2,BBL,2023-09-01,0.866,0.827,41,5.6,5.3,Mohammed Boukhari,m.boukhari@roc.nl,False
20230037,Linn van de Plas-Nedermeijer,l.vandeplas-nedermeijer@student.roc.nl,16,V,MBO niveau 3,Techniek,Software Developer,25604,2023-2024,4,BBL,2023-09-01,0.475,0.598,31,5.8,5.9,Jan de Vries,j.devries@roc.nl,False
20230038,Sven van Herstal,s.vanherstal@student.roc.nl,19,V,MBO niveau 3,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.464,0.541,31,8.2,8.4,Peter Smit,p.smit@roc.nl,False
20220039,Luca Muller-Eelman,l.muller-eelman@student.roc.nl,16,M,VMBO-B,Economie,Financieel administrateur,90370,2022-2023,4,BBL,2022-09-01,0.588,0.654,34,6.4,5.8,Anita Jansen,a.jansen@roc.nl,False
20220040,Boaz de Graaf,b.degraaf@student.roc.nl,16,V,VMBO-K,Dienstverlening,Kapper,97460,2022-2023,3,BOL,2022-09-01,0.455,0.627,34,7.0,8.5,Fatima El Amrani,f.elamrani@roc.nl,True
20230041,Pieter Luster-van Wijk,p.luster-vanwijk@student.roc.nl,21,M,VMBO-K,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.835,0.769,41,6.7,8.8,Anita Jansen,a.jansen@roc.nl,False
20230042,Mia Ariens Ansems,m.ariensansems@student.roc.nl,21,M,VMBO-T,Economie,Logistiek medewerker,90640,2023-2024,3,BOL,2023-09-01,0.196,0.37,18,9.2,4.1,Anita Jansen,a.jansen@roc.nl,False
20230043,Rens Janssen,r.janssen@student.roc.nl,18,V,VMBO-B,Techniek,Installatiemonteur,25480,2023-2024,2,BOL,2023-09-01,0.631,0.643,38,8.6,3.9,Anita Jansen,a.jansen@roc.nl,False
20220044,Ise van Rossum,i.vanrossum@student.roc.nl,20,V,HAVO,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.467,0.43,22,2.8,6.7,Jan de Vries,j.devries@roc.nl,False
20230045,Guusje van den Velden,g.vandenvelden@student.roc.nl,23,M,MBO niveau 2,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.831,0.754,47,5.4,7.2,Mohammed Boukhari,m.boukhari@roc.nl,False
20230046,Elena Vaessen,e.vaessen@student.roc.nl,16,M,VMBO-B,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.863,0.768,49,6.9,5.7,Anita Jansen,a.jansen@roc.nl,False
20220047,Cato Ehlert,c.ehlert@student.roc.nl,19,M,VMBO-T,Techniek,Netwerkbeheerder,93200,2022-2023,4,BOL,2022-09-01,0.827,0.787,44,7.0,5.1,Mohammed Boukhari,m.boukhari@roc.nl,False
20220048,Fem Flink,f.flink@student.roc.nl,16,V,VMBO-B,Economie,Commercieel medewerker,90111,2022-2023,3,BBL,2022-09-01,0.898,0.8,42,6.3,7.8,Anita Jansen,a.jansen@roc.nl,False
20230049,Lucas de Bruin,l.debruin@student.roc.nl,17,V,VMBO-B,Zorg,Verzorgende IG,93500,2023-2024,3,BOL,2023-09-01,0.542,0.647,36,5.2,2.9,Fatima El Amrani,f.elamrani@roc.nl,False
20220050,Teun van den Nyeuwenhuysen-Dubois,t.vandennyeuwenhuysen-dubois@student.roc.nl,21,M,VMBO-K,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.962,0.722,44,5.6,4.0,Jan de Vries,j.devries@roc.nl,False
20220051,James Laffray-Manne,j.laffray-manne@student.roc.nl,21,V,HAVO,Dienstverlening,Kapper,97460,2022-2023,3,BOL,2022-09-01,0.512,0.681,42,5.6,7.6,Fatima El Amrani,f.elamrani@roc.nl,False
20230052,Lise Bosch,l.bosch@student.roc.nl,22,V,VMBO-K,Economie,Commercieel medewerker,90111,2023-2024,3,BOL,2023-09-01,0.682,0.699,37,6.3,6.6,Fatima El Amrani,f.elamrani@roc.nl,False
20220053,Jesse Tamsma,j.tamsma@student.roc.nl,22,V,MBO niveau 3,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.738,0.661,37,9.1,6.0,Anita Jansen,a.jansen@roc.nl,False
20230054,Merle Hellevoort,m.hellevoort@student.roc.nl,19,V,VMBO-K,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.8,0.789,47,6.7,6.3,Mohammed Boukhari,m.boukhari@roc.nl,False
20220055,Roos van der Brink,r.vanderbrink@student.roc.nl,20,M,VMBO-K,Zorg,Doktersassistent,34576,2022-2023,4,BOL,2022-09-01,0.677,0.69,49,8.5,6.9,Jan de Vries,j.devries@roc.nl,False
20230056,Colin Verheuvel-Claassen,c.verheuvel-claassen@student.roc.nl,24,V,MBO niveau 3,Economie,Manager handel,90202,2023-2024,4,BOL,2023-09-01,0.749,0.679,44,5.6,7.3,Jan de Vries,j.devries@roc.nl,False
20230057,Aiden Steenbeek,a.steenbeek@student.roc.nl,23,V,VMBO-B,Dienstverlening,Kok,25185,2023-2024,2,BBL,2023-09-01,0.905,0.701,42,6.3,5.2,Fatima El Amrani,f.elamrani@roc.nl,True
20230058,Joey Die Bont,j.diebont@student.roc.nl,26,V,VMBO-K,Economie,Manager handel,90202,2023-2024,4,BBL,2023-09-01,0.833,0.881,54,7.9,6.5,Mohammed Boukhari,m.boukhari@roc.nl,False
20220059,Sami de Graaf,s.degraaf@student.roc.nl,17,V,VMBO-T,Economie,Commercieel medewerker,90111,2022-2023,3,BBL,2022-09-01,0.776,0.774,44,6.3,7.0,Jan de Vries,j.devries@roc.nl,False
20230060,Elizabeth Coenen,e.coenen@student.roc.nl,16,M,VMBO-B,Groen,Dierverzorger,97730,2023-2024,3,BBL,2023-09-01,0.452,0.619,39,7.9,7.9,Peter Smit,p.smit@roc.nl,True
20230061,Valentijn Barents,v.barents@student.roc.nl,17,V,VMBO-T,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.672,0.661,37,9.0,6.5,Peter Smit,p.smit@roc.nl,False
20230062,Mark Zaal,m.zaal@student.roc.nl,27,V,MBO niveau 2,Economie,Financieel administrateur,90370,2023-2024,4,BOL,2023-09-01,0.786,0.791,38,7.2,6.6,Peter Smit,p.smit@roc.nl,False
20230063,Charlotte Hemma van Allemanië,c.hemmavanallemanië@student.roc.nl,18,M,MBO niveau 2,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BOL,2023-09-01,0.769,0.814,50,7.8,6.5,Peter Smit,p.smit@roc.nl,False
20230064,Anna Meeres,a.meeres@student.roc.nl,17,V,VMBO-B,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.69,0.665,43,7.7,7.8,Fatima El Amrani,f.elamrani@roc.nl,False
20230065,Lise Meeusen,l.meeusen@student.roc.nl,23,V,VMBO-B,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.855,0.78,44,5.8,5.5,Jan de Vries,j.devries@roc.nl,False
20220066,Collin Chotzen,c.chotzen@student.roc.nl,19,M,VMBO-B,Economie,Logistiek medewerker,90640,2022-2023,3,BOL,2022-09-01,0.61,0.64,34,6.6,3.5,Jan de Vries,j.devries@roc.nl,False
20230067,Zara de Ruiter-van Maasgouw,z.deruiter-vanmaasgouw@student.roc.nl,21,M,VMBO-B,Zorg,Verpleegkundige,99070,2023-2024,4,BOL,2023-09-01,0.509,0.494,36,7.3,6.8,Jan de Vries,j.devries@roc.nl,True
20220068,Maarten van der Klijn,m.vanderklijn@student.roc.nl,18,M,HAVO,Dienstverlening,Kapper,97460,2022-2023,3,BBL,2022-09-01,0.99,0.812,43,5.6,5.7,Peter Smit,p.smit@roc.nl,False
20220069,Rosa van der Kint,r.vanderkint@student.roc.nl,21,M,VMBO-T,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.781,0.702,44,7.0,7.4,Jan de Vries,j.devries@roc.nl,False
20230070,Mirthe van Rheineck-Lathrope,m.vanrheineck-lathrope@student.roc.nl,25,M,VMBO-T,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.786,0.688,36,7.8,5.8,Anita Jansen,a.jansen@roc.nl,False
20230071,Lizz Hoedemakers,l.hoedemakers@student.roc.nl,19,M,MBO niveau 3,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.854,0.866,52,4.3,8.2,Anita Jansen,a.jansen@roc.nl,False
20220072,Liam Kunen,l.kunen@student.roc.nl,23,V,HAVO,Zorg,Verpleegkundige,99070,2022-2023,4,BOL,2022-09-01,0.271,0.465,30,6.3,9.9,Jan de Vries,j.devries@roc.nl,False
20220073,Lize den Teuling,l.denteuling@student.roc.nl,22,M,HAVO,Economie,Manager handel,90202,2022-2023,4,BOL,2022-09-01,0.609,0.67,43,8.3,6.8,Mohammed Boukhari,m.boukhari@roc.nl,False
20220074,Loïs van der Laar,l.vanderlaar@student.roc.nl,22,V,HAVO,Techniek,Installatiemonteur,25480,2022-2023,2,BBL,2022-09-01,0.457,0.569,32,7.9,4.9,Jan de Vries,j.devries@roc.nl,False
20230075,Marinus van Luinenburg,m.vanluinenburg@student.roc.nl,19,V,VMBO-B,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.485,0.534,35,3.5,10.0,Anita Jansen,a.jansen@roc.nl,False
20220076,Berat de Haas,b.dehaas@student.roc.nl,21,M,HAVO,Zorg,Verpleegkundige,99070,2022-2023,4,BOL,2022-09-01,0.613,0.739,41,5.8,5.7,Mohammed Boukhari,m.boukhari@roc.nl,False
20230077,Maurits Tirie,m.tirie@student.roc.nl,20,V,VMBO-T,Zorg,Verpleegkundige,99070,2023-2024,4,BOL,2023-09-01,0.79,0.708,37,8.5,7.2,Anita Jansen,a.jansen@roc.nl,False
20220078,Milan Scheer,m.scheer@student.roc.nl,18,V,HAVO,Zorg,Verzorgende IG,93500,2022-2023,3,BOL,2022-09-01,0.956,0.884,52,5.6,8.0,Fatima El Amrani,f.elamrani@roc.nl,False
20230079,Lucas Lommert-Peronne,l.lommert-peronne@student.roc.nl,22,V,MBO niveau 3,Economie,Commercieel medewerker,90111,2023-2024,3,BOL,2023-09-01,0.968,0.857,46,8.7,7.4,Fatima El Amrani,f.elamrani@roc.nl,False
20230080,Kyara Slagmolen,k.slagmolen@student.roc.nl,21,V,MBO niveau 2,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.726,0.78,41,5.1,5.6,Fatima El Amrani,f.elamrani@roc.nl,True
20220081,Morris van Ooyen,m.vanooyen@student.roc.nl,24,V,MBO niveau 2,Dienstverlening,Kapper,97460,2022-2023,3,BOL,2022-09-01,0.85,0.876,36,6.5,8.4,Peter Smit,p.smit@roc.nl,False
20230082,Cato van de Velden,c.vandevelden@student.roc.nl,20,V,VMBO-B,Techniek,Netwerkbeheerder,93200,2023-2024,4,BOL,2023-09-01,0.725,0.645,41,6.4,6.0,Jan de Vries,j.devries@roc.nl,False
20230083,Jelle Cant-Meijer,j.cant-meijer@student.roc.nl,20,V,VMBO-T,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.895,0.882,50,8.0,6.4,Peter Smit,p.smit@roc.nl,False
20220084,Dave Holthuis,d.holthuis@student.roc.nl,16,V,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.755,0.684,39,6.7,7.4,Mohammed Boukhari,m.boukhari@roc.nl,False
20230085,Evi Gepa van Bourgondië,e.gepavanbourgondië@student.roc.nl,21,V,MBO niveau 3,Zorg,Verpleegkundige,99070,2023-2024,4,BOL,2023-09-01,0.228,0.497,29,7.2,6.2,Fatima El Amrani,f.elamrani@roc.nl,False
20220086,Sander Woudenberg,s.woudenberg@student.roc.nl,24,M,MBO niveau 2,Techniek,Software Developer,25604,2022-2023,4,BBL,2022-09-01,0.733,0.573,41,8.3,6.9,Peter Smit,p.smit@roc.nl,False
20230087,Jip van Este,j.vaneste@student.roc.nl,22,X,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.643,0.679,41,6.5,6.8,Jan de Vries,j.devries@roc.nl,False
20220088,Frederique die Pelser,f.diepelser@student.roc.nl,17,V,MBO niveau 2,Economie,Commercieel medewerker,90111,2022-2023,3,BBL,2022-09-01,0.536,0.692,39,6.4,5.5,Fatima El Amrani,f.elamrani@roc.nl,False
20230089,Finn Janssen-Wendt,f.janssen-wendt@student.roc.nl,23,V,MBO niveau 3,Dienstverlening,Kapper,97460,2023-2024,3,BOL,2023-09-01,0.774,0.644,46,8.8,3.4,Jan de Vries,j.devries@roc.nl,False
20220090,Jamie van 't Wel,j.van'twel@student.roc.nl,23,V,VMBO-K,Zorg,Verzorgende IG,93500,2022-2023,3,BOL,2022-09-01,0.869,0.774,41,5.1,7.9,Anita Jansen,a.jansen@roc.nl,False
20220091,Lina Moet-Geneart,l.moet-geneart@student.roc.nl,23,V,HAVO,Groen,Medewerker voedsel,97590,2022-2023,2,BOL,2022-09-01,0.847,0.78,42,7.9,5.2,Anita Jansen,a.jansen@roc.nl,False
20220092,Bente van Ooste-Brandt,b.vanooste-brandt@student.roc.nl,22,V,MBO niveau 3,Economie,Manager handel,90202,2022-2023,4,BOL,2022-09-01,0.674,0.615,40,7.2,7.6,Peter Smit,p.smit@roc.nl,True
20230093,Dex van Ham-Ellis,d.vanham-ellis@student.roc.nl,23,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2023-2024,3,BOL,2023-09-01,0.444,0.612,32,5.1,7.4,Mohammed Boukhari,m.boukhari@roc.nl,False
20230094,Linn Geerling,l.geerling@student.roc.nl,18,M,VMBO-T,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BBL,2023-09-01,0.783,0.81,46,6.7,4.3,Mohammed Boukhari,m.boukhari@roc.nl,False
20220095,Silke van Herstal,s.vanherstal@student.roc.nl,18,M,VMBO-B,Economie,Commercieel medewerker,90111,2022-2023,3,BOL,2022-09-01,0.595,0.727,46,8.3,5.2,Peter Smit,p.smit@roc.nl,True
20220096,Fabian van Luin-Sestig,f.vanluin-sestig@student.roc.nl,17,V,MBO niveau 2,Zorg,Verzorgende IG,93500,2022-2023,3,BOL,2022-09-01,0.864,0.762,41,7.6,7.6,Fatima El Amrani,f.elamrani@roc.nl,True
20220097,Robin François,r.françois@student.roc.nl,18,V,MBO niveau 3,Zorg,Verpleegkundige,99070,2022-2023,4,BOL,2022-09-01,0.861,0.637,30,6.9,6.6,Mohammed Boukhari,m.boukhari@roc.nl,False
20220098,Jesse Broek-Ferran,j.broek-ferran@student.roc.nl,24,M,VMBO-B,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.544,0.469,25,5.8,5.6,Mohammed Boukhari,m.boukhari@roc.nl,False
20230099,Nova Bijlsma,n.bijlsma@student.roc.nl,21,M,VMBO-B,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.591,0.667,41,7.0,7.2,Anita Jansen,a.jansen@roc.nl,True
20230100,Roos Huisman,r.huisman@student.roc.nl,19,M,VMBO-T,Economie,Commercieel medewerker,90111,2023-2024,3,BOL,2023-09-01,0.854,0.782,37,5.4,7.2,Peter Smit,p.smit@roc.nl,True
20220101,Jesper Gellemeyer,j.gellemeyer@student.roc.nl,16,V,MBO niveau 2,Techniek,Elektrotechniek,25160,2022-2023,3,BOL,2022-09-01,0.798,0.69,29,7.4,6.6,Jan de Vries,j.devries@roc.nl,True
20230102,Lenn Remmers,l.remmers@student.roc.nl,16,V,VMBO-T,Techniek,Elektrotechniek,25160,2023-2024,3,BOL,2023-09-01,0.718,0.585,26,4.2,5.3,Anita Jansen,a.jansen@roc.nl,False
20220103,Niek de Hoogh,n.dehoogh@student.roc.nl,20,M,MBO niveau 3,Economie,Logistiek medewerker,90640,2022-2023,3,BOL,2022-09-01,0.725,0.628,36,8.4,4.8,Jan de Vries,j.devries@roc.nl,False
20230104,Vigo Pratt-van Dongen,v.pratt-vandongen@student.roc.nl,21,M,VMBO-K,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BOL,2023-09-01,0.609,0.534,32,4.7,5.1,Anita Jansen,a.jansen@roc.nl,False
20230105,Kayleigh Vink-Martens,k.vink-martens@student.roc.nl,16,M,VMBO-B,Dienstverlening,Kok,25185,2023-2024,2,BOL,2023-09-01,0.429,0.599,38,8.4,8.0,Mohammed Boukhari,m.boukhari@roc.nl,True
20230106,Nikki Heerkens-de Korte,n.heerkens-dekorte@student.roc.nl,18,M,VMBO-T,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BOL,2023-09-01,0.673,0.705,42,5.4,4.8,Anita Jansen,a.jansen@roc.nl,False
20230107,Yasmine Zeldenrust-van Spreuwel,y.zeldenrust-vanspreuwel@student.roc.nl,16,V,MBO niveau 2,Economie,Financieel administrateur,90370,2023-2024,4,BOL,2023-09-01,0.551,0.705,45,8.1,7.2,Mohammed Boukhari,m.boukhari@roc.nl,False
20220108,Ella van der Horst,e.vanderhorst@student.roc.nl,16,V,MBO niveau 2,Techniek,Netwerkbeheerder,93200,2022-2023,4,BOL,2022-09-01,0.498,0.63,32,7.7,6.3,Peter Smit,p.smit@roc.nl,True
20230109,Bo de Backer,b.debacker@student.roc.nl,16,M,VMBO-T,Techniek,Netwerkbeheerder,93200,2023-2024,4,BOL,2023-09-01,0.464,0.606,39,7.7,6.0,Peter Smit,p.smit@roc.nl,False
20230110,Twan Bloemendaal,t.bloemendaal@student.roc.nl,21,M,HAVO,Dienstverlening,Gastvrouw/-heer,90191,2023-2024,3,BBL,2023-09-01,0.904,0.672,48,7.0,7.6,Jan de Vries,j.devries@roc.nl,False
20220111,Florian van Baalen-van Geest,f.vanbaalen-vangeest@student.roc.nl,17,V,VMBO-B,Economie,Manager handel,90202,2022-2023,4,BBL,2022-09-01,0.634,0.641,37,7.0,6.3,Fatima El Amrani,f.elamrani@roc.nl,False
20220112,Ibrahim van den Oever-van Bernicia,i.vandenoever-vanbernicia@student.roc.nl,21,V,VMBO-K,Zorg,Doktersassistent,34576,2022-2023,4,BOL,2022-09-01,0.552,0.652,30,7.0,7.4,Jan de Vries,j.devries@roc.nl,False
20220113,Mirthe Haselaar,m.haselaar@student.roc.nl,20,X,MBO niveau 3,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.511,0.479,29,6.9,6.4,Jan de Vries,j.devries@roc.nl,False
20220114,Dana de Plantard,d.deplantard@student.roc.nl,17,V,HAVO,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.674,0.705,32,6.3,4.5,Mohammed Boukhari,m.boukhari@roc.nl,False
