studentnummer,naam,email,leeftijd,geslacht,vooropleiding,sector,opleiding,crebocode,cohort,niveau,leerweg,intakedatum,aanwezigheid,voortgang,bsa_studiepunten,cijfer_nederlands,cijfer_rekenen,mentor_naam,mentor_email
20240013,Owen Werdes-Vos,o.werdes-vos@student.roc.nl,24,V,VMBO-K,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BBL,2024-09-01,0.725,0.726,40,5.7,4.6,Fatima El Amrani,f.elamrani@roc.nl
20240014,Damian Bijlsma-Bekbergen,d.bijlsma-bekbergen@student.roc.nl,22,M,VMBO-T,Economie,Commercieel medewerker,90111,2024-2025,3,BBL,2024-09-01,0.526,0.669,39,6.8,4.7,Anita Jansen,a.jansen@roc.nl
20240015,Bilal Bernaards-van Kuijc,b.bernaards-vankuijc@student.roc.nl,27,V,VMBO-T,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.801,0.829,44,5.4,5.6,Peter Smit,p.smit@roc.nl
20240016,Elena van der Heiden,e.vanderheiden@student.roc.nl,19,M,MBO niveau 3,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.947,0.932,58,5.6,6.0,Mohammed Boukhari,m.boukhari@roc.nl
20240017,Maria Le Marec,m.lemarec@student.roc.nl,18,M,HAVO,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.678,0.692,39,6.6,5.3,Jan de Vries,j.devries@roc.nl
20240018,Levi van den Brand,l.vandenbrand@student.roc.nl,28,V,VMBO-K,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.902,0.916,51,5.4,5.7,Fatima El Amrani,f.elamrani@roc.nl
20240019,Jip van Voorst,j.vanvoorst@student.roc.nl,19,V,MBO niveau 2,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.987,0.899,50,8.8,4.2,Jan de Vries,j.devries@roc.nl
20240020,Noa ter Waarbeek,n.terwaarbeek@student.roc.nl,19,M,VMBO-K,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.615,0.635,35,6.7,5.3,Anita Jansen,a.jansen@roc.nl
20240021,Maya le Gallen,m.legallen@student.roc.nl,22,M,HAVO,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.592,0.64,44,7.4,5.3,Mohammed Boukhari,m.boukhari@roc.nl
20240022,Bastiaan Sanders,b.sanders@student.roc.nl,16,V,VMBO-T,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.568,0.603,24,5.9,7.1,Jan de Vries,j.devries@roc.nl
20240023,Zakaria Meyer-Huisman,z.meyer-huisman@student.roc.nl,21,V,MBO niveau 2,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.77,0.758,44,7.9,4.8,Peter Smit,p.smit@roc.nl
20240024,Mason van der Lede-Rek,m.vanderlede-rek@student.roc.nl,17,V,MBO niveau 3,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.625,0.554,22,8.5,5.6,Mohammed Boukhari,m.boukhari@roc.nl
20240025,Mette Heribert van Laon,m.heribertvanlaon@student.roc.nl,16,M,VMBO-B,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.564,0.585,35,7.5,6.6,Fatima El Amrani,f.elamrani@roc.nl
20240026,Janne Fredriks-de Pauw,j.fredriks-depauw@student.roc.nl,19,M,MBO niveau 3,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.742,0.812,32,5.9,7.4,Anita Jansen,a.jansen@roc.nl
20240027,Mark Vegt,m.vegt@student.roc.nl,23,M,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BBL,2024-09-01,0.674,0.721,36,6.2,7.4,Mohammed Boukhari,m.boukhari@roc.nl
20240028,Sylvie van Vermandois,s.vanvermandois@student.roc.nl,21,M,VMBO-T,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.58,0.645,36,7.0,6.8,Anita Jansen,a.jansen@roc.nl
20240029,Vigo Weylant,v.weylant@student.roc.nl,16,V,HAVO,Zorg,Doktersassistent,34576,2024-2025,4,BOL,2024-09-01,0.833,0.833,50,5.7,6.8,Anita Jansen,a.jansen@roc.nl
20240030,Benthe Rijks,b.rijks@student.roc.nl,17,V,MBO niveau 3,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.668,0.698,37,6.9,7.1,Fatima El Amrani,f.elamrani@roc.nl
20240031,Luuk Bresse,l.bresse@student.roc.nl,16,M,HAVO,Zorg,Doktersassistent,34576,2024-2025,4,BOL,2024-09-01,0.743,0.769,38,7.5,7.8,Anita Jansen,a.jansen@roc.nl
20240032,Zoë Dekker-van Herstal,z.dekker-vanherstal@student.roc.nl,21,M,VMBO-B,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.9,0.894,33,6.1,9.7,Jan de Vries,j.devries@roc.nl
20240033,Kick Kamper,k.kamper@student.roc.nl,21,M,VMBO-T,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.627,0.624,31,5.5,8.1,Anita Jansen,a.jansen@roc.nl
20240034,Maryam van Ginneke,m.vanginneke@student.roc.nl,18,V,VMBO-K,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.809,0.841,43,8.1,3.0,Jan de Vries,j.devries@roc.nl
20240035,Chloé der Kijnder,c.derkijnder@student.roc.nl,17,V,MBO niveau 3,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.681,0.689,40,9.1,6.2,Anita Jansen,a.jansen@roc.nl
20240036,Nathan Uphuis,n.uphuis@student.roc.nl,16,V,VMBO-B,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.698,0.637,35,5.8,7.0,Fatima El Amrani,f.elamrani@roc.nl
20240037,Wouter Bastiaanse-de Vrome,w.bastiaanse-devrome@student.roc.nl,19,V,VMBO-B,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.557,0.617,39,9.0,4.6,Fatima El Amrani,f.elamrani@roc.nl
20240038,Berat Mercks,b.mercks@student.roc.nl,24,M,VMBO-T,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.893,0.781,44,4.6,7.0,Mohammed Boukhari,m.boukhari@roc.nl
20240039,Aron Bolkesteijn,a.bolkesteijn@student.roc.nl,18,V,HAVO,Techniek,Installatiemonteur,25480,2024-2025,2,BOL,2024-09-01,0.956,0.905,44,5.2,7.4,Mohammed Boukhari,m.boukhari@roc.nl
20240040,Kayleigh Geneart,k.geneart@student.roc.nl,24,M,VMBO-K,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.692,0.742,49,9.7,5.7,Mohammed Boukhari,m.boukhari@roc.nl
20240041,Ryan Lagerweij,r.lagerweij@student.roc.nl,19,M,HAVO,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BOL,2024-09-01,0.94,0.915,52,4.7,6.6,Mohammed Boukhari,m.boukhari@roc.nl
20240042,Marit de Hoog-de Haas,m.dehoog-dehaas@student.roc.nl,19,M,VMBO-T,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.886,0.914,44,6.3,6.3,Fatima El Amrani,f.elamrani@roc.nl
20240043,Youssef Lankle,y.lankle@student.roc.nl,21,V,VMBO-K,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.879,0.703,41,6.5,7.4,Peter Smit,p.smit@roc.nl
20240044,Abel Kolen,a.kolen@student.roc.nl,18,V,VMBO-K,Groen,Medewerker voedsel,97590,2024-2025,2,BBL,2024-09-01,0.566,0.57,38,3.9,5.1,Mohammed Boukhari,m.boukhari@roc.nl
20240045,Julie van Landen,j.vanlanden@student.roc.nl,17,V,MBO niveau 3,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.919,0.908,47,7.5,6.3,Peter Smit,p.smit@roc.nl
20240046,Jort van der Meer,j.vandermeer@student.roc.nl,19,V,VMBO-T,Zorg,Verpleegkundige,99070,2024-2025,4,BBL,2024-09-01,0.619,0.759,37,8.4,6.7,Peter Smit,p.smit@roc.nl
20240047,Mare de Bruin,m.debruin@student.roc.nl,16,M,MBO niveau 3,Zorg,Doktersassistent,34576,2024-2025,4,BOL,2024-09-01,0.744,0.823,50,8.1,4.9,Anita Jansen,a.jansen@roc.nl
20240048,Yusuf Scherms,y.scherms@student.roc.nl,22,M,HAVO,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.699,0.533,27,7.6,7.1,Anita Jansen,a.jansen@roc.nl
20240049,Rafael Kok-Huisman,r.kok-huisman@student.roc.nl,21,M,HAVO,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.754,0.554,34,8.2,6.2,Fatima El Amrani,f.elamrani@roc.nl
20240050,Floris Koning,f.koning@student.roc.nl,21,X,MBO niveau 2,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.466,0.552,27,6.4,5.2,Peter Smit,p.smit@roc.nl
20240051,Olivia Kleybrink,o.kleybrink@student.roc.nl,21,M,MBO niveau 3,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.68,0.613,42,7.9,6.1,Mohammed Boukhari,m.boukhari@roc.nl
20240052,Dirk van Stralen,d.vanstralen@student.roc.nl,20,V,MBO niveau 3,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.842,0.742,38,8.4,4.7,Jan de Vries,j.devries@roc.nl
20240053,Aimée Koret,a.koret@student.roc.nl,20,V,HAVO,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.778,0.741,39,8.4,8.9,Fatima El Amrani,f.elamrani@roc.nl
20240054,Isis Mangel-Cornelisz,i.mangel-cornelisz@student.roc.nl,20,V,MBO niveau 2,Economie,Commercieel medewerker,90111,2024-2025,3,BBL,2024-09-01,0.33,0.464,33,6.6,6.6,Anita Jansen,a.jansen@roc.nl
20240055,Sarah Haack,s.haack@student.roc.nl,21,V,VMBO-T,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.642,0.722,37,6.6,6.7,Fatima El Amrani,f.elamrani@roc.nl
20240056,Tess Lijn,t.lijn@student.roc.nl,20,M,MBO niveau 2,Techniek,Netwerkbeheerder,93200,2024-2025,4,BBL,2024-09-01,0.751,0.8,38,7.0,8.1,Peter Smit,p.smit@roc.nl
20240057,Max Dennenberg-Köster,m.dennenberg-köster@student.roc.nl,16,V,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.748,0.655,39,6.8,6.1,Anita Jansen,a.jansen@roc.nl
20240058,Amir Rippey-van den Berg,a.rippey-vandenberg@student.roc.nl,26,M,VMBO-K,Techniek,Software Developer,25604,2024-2025,4,BBL,2024-09-01,0.847,0.746,48,7.3,8.2,Mohammed Boukhari,m.boukhari@roc.nl
20240059,Jonas Huijben,j.huijben@student.roc.nl,17,V,VMBO-T,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.748,0.712,45,8.6,6.7,Mohammed Boukhari,m.boukhari@roc.nl
20240060,Aaron Molegraaf-Jansdr,a.molegraaf-jansdr@student.roc.nl,19,M,MBO niveau 3,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.683,0.676,40,2.3,3.9,Jan de Vries,j.devries@roc.nl
20240061,Iris Dries,i.dries@student.roc.nl,16,M,HAVO,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.69,0.781,42,5.1,6.0,Jan de Vries,j.devries@roc.nl
20240062,Liz Dircken,l.dircken@student.roc.nl,20,V,VMBO-B,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.884,0.905,51,4.9,6.7,Jan de Vries,j.devries@roc.nl
20240063,Daan van Kusen,d.vankusen@student.roc.nl,21,V,MBO niveau 3,Techniek,Elektrotechniek,25160,2024-2025,3,BBL,2024-09-01,0.569,0.679,42,6.8,6.5,Peter Smit,p.smit@roc.nl
20240064,Elena van Susa-Verbeek,e.vansusa-verbeek@student.roc.nl,17,M,MBO niveau 2,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.635,0.745,39,4.7,4.8,Peter Smit,p.smit@roc.nl
20240065,Joy van Enschot,j.vanenschot@student.roc.nl,19,M,MBO niveau 2,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.707,0.562,39,6.8,5.5,Jan de Vries,j.devries@roc.nl
20240066,Bjorn van Dijk-Soos,b.vandijk-soos@student.roc.nl,19,M,MBO niveau 3,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.903,0.885,45,7.4,5.0,Anita Jansen,a.jansen@roc.nl
20240067,Janne Rubben,j.rubben@student.roc.nl,19,V,VMBO-K,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.55,0.62,33,8.0,5.3,Anita Jansen,a.jansen@roc.nl
20240068,Boaz Helmerhorst,b.helmerhorst@student.roc.nl,21,M,VMBO-T,Zorg,Verpleegkundige,99070,2024-2025,4,BOL,2024-09-01,0.754,0.593,31,8.3,6.6,Mohammed Boukhari,m.boukhari@roc.nl
20240069,Rik Osterhoudt,r.osterhoudt@student.roc.nl,20,V,VMBO-B,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.458,0.465,25,8.0,8.4,Mohammed Boukhari,m.boukhari@roc.nl
20240070,Sebastiaan Cosman,s.cosman@student.roc.nl,23,M,VMBO-K,Dienstverlening,Kapper,97460,2024-2025,3,BBL,2024-09-01,0.908,0.662,45,6.3,4.7,Peter Smit,p.smit@roc.nl
20240071,Brent Sanders,b.sanders@student.roc.nl,20,M,MBO niveau 3,Zorg,Doktersassistent,34576,2024-2025,4,BOL,2024-09-01,0.702,0.672,47,6.5,5.9,Jan de Vries,j.devries@roc.nl
20240072,Kian van Susa,k.vansusa@student.roc.nl,19,M,VMBO-B,Techniek,Installatiemonteur,25480,2024-2025,2,BBL,2024-09-01,0.712,0.592,24,5.9,6.3,Mohammed Boukhari,m.boukhari@roc.nl
20240073,Boaz Billung-van Vlaanderen,b.billung-vanvlaanderen@student.roc.nl,18,V,VMBO-T,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.713,0.73,28,5.0,4.6,Jan de Vries,j.devries@roc.nl
20240074,Brian Maas,b.maas@student.roc.nl,16,V,VMBO-T,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.911,0.768,42,4.8,5.2,Peter Smit,p.smit@roc.nl
20240075,Jonas Broeshart,j.broeshart@student.roc.nl,21,V,VMBO-T,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.655,0.611,43,7.8,5.9,Fatima El Amrani,f.elamrani@roc.nl
20240076,Aaliyah Willemsen-Jorrisen,a.willemsen-jorrisen@student.roc.nl,25,V,VMBO-B,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.948,0.899,44,5.7,9.6,Jan de Vries,j.devries@roc.nl
20240077,Victor Briere,v.briere@student.roc.nl,18,V,MBO niveau 2,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.793,0.688,41,7.6,5.0,Mohammed Boukhari,m.boukhari@roc.nl
20240078,Tristan David,t.david@student.roc.nl,18,V,VMBO-T,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.865,0.629,36,7.3,7.1,Peter Smit,p.smit@roc.nl
20240079,Nick Timmermans-van Mare,n.timmermans-vanmare@student.roc.nl,16,M,HAVO,Groen,Dierverzorger,97730,2024-2025,3,BBL,2024-09-01,0.86,0.719,36,7.0,5.3,Fatima El Amrani,f.elamrani@roc.nl
20240080,Lucy Wever,l.wever@student.roc.nl,19,M,HAVO,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.711,0.753,45,7.4,8.5,Jan de Vries,j.devries@roc.nl
20240081,Pieter Wigman,p.wigman@student.roc.nl,21,M,MBO niveau 3,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.615,0.758,42,7.0,4.4,Peter Smit,p.smit@roc.nl
20240082,Pepijn Spreeuw,p.spreeuw@student.roc.nl,22,M,VMBO-T,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.657,0.678,38,4.1,7.1,Fatima El Amrani,f.elamrani@roc.nl
20240083,Anne Haneberg,a.haneberg@student.roc.nl,16,M,MBO niveau 2,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.608,0.565,32,7.0,4.1,Anita Jansen,a.jansen@roc.nl
20240084,Aron Bellemans,a.bellemans@student.roc.nl,18,V,VMBO-T,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.714,0.804,48,7.0,6.9,Fatima El Amrani,f.elamrani@roc.nl
20240085,Rayan Weyland,r.weyland@student.roc.nl,21,V,MBO niveau 3,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.578,0.542,36,6.4,5.9,Mohammed Boukhari,m.boukhari@roc.nl
20240086,Jamie Jacobs,j.jacobs@student.roc.nl,21,M,VMBO-T,Zorg,Doktersassistent,34576,2024-2025,4,BBL,2024-09-01,0.766,0.825,43,7.2,4.8,Mohammed Boukhari,m.boukhari@roc.nl
20240087,Dylano Kuijpers-Eijkelboom,d.kuijpers-eijkelboom@student.roc.nl,22,X,HAVO,Techniek,Software Developer,25604,2024-2025,4,BBL,2024-09-01,0.774,0.744,47,3.2,5.9,Mohammed Boukhari,m.boukhari@roc.nl
20240088,Lorenzo Billung-van der Klijn,l.billung-vanderklijn@student.roc.nl,20,M,VMBO-T,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.852,0.717,43,5.0,7.9,Jan de Vries,j.devries@roc.nl
20240089,Femke de Graaf,f.degraaf@student.roc.nl,18,V,VMBO-T,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.76,0.813,51,5.7,9.4,Jan de Vries,j.devries@roc.nl
20240090,Nadia Zijlmans,n.zijlmans@student.roc.nl,20,V,VMBO-K,Economie,Financieel administrateur,90370,2024-2025,4,BBL,2024-09-01,0.744,0.716,38,5.5,5.1,Anita Jansen,a.jansen@roc.nl
20240091,Meike Mol,m.mol@student.roc.nl,19,X,MBO niveau 3,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.722,0.64,48,8.4,5.8,Peter Smit,p.smit@roc.nl
20240092,Zoey Feltzer,z.feltzer@student.roc.nl,21,V,MBO niveau 2,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.561,0.624,31,7.2,7.6,Anita Jansen,a.jansen@roc.nl
20240093,Liza van 't Riet,l.van'triet@student.roc.nl,16,V,HAVO,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.748,0.742,43,7.3,6.5,Fatima El Amrani,f.elamrani@roc.nl
20240094,Philip Strik,p.strik@student.roc.nl,17,M,MBO niveau 2,Dienstverlening,Kapper,97460,2024-2025,3,BOL,2024-09-01,0.845,0.777,44,5.3,7.3,Fatima El Amrani,f.elamrani@roc.nl
20240095,Ivy van Loon,i.vanloon@student.roc.nl,18,M,VMBO-B,Zorg,Verzorgende IG,93500,2024-2025,3,BBL,2024-09-01,0.964,0.913,53,4.4,4.0,Fatima El Amrani,f.elamrani@roc.nl
20240096,Luuk Henric van den Nuwenhuse,l.henricvandennuwenhuse@student.roc.nl,23,V,HAVO,Economie,Manager handel,90202,2024-2025,4,BBL,2024-09-01,0.637,0.557,22,7.3,7.0,Anita Jansen,a.jansen@roc.nl
20240097,Anne de Nijs-van Bovene,a.denijs-vanbovene@student.roc.nl,16,M,MBO niveau 3,Economie,Logistiek medewerker,90640,2024-2025,3,BOL,2024-09-01,0.899,0.785,50,6.4,3.8,Jan de Vries,j.devries@roc.nl
20240098,Damian Welf,d.welf@student.roc.nl,21,M,VMBO-K,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.887,0.714,38,6.8,5.1,Jan de Vries,j.devries@roc.nl
20240099,Sanne van Roijen,s.vanroijen@student.roc.nl,18,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.791,0.84,45,8.0,3.2,Mohammed Boukhari,m.boukhari@roc.nl
20240100,Jordy de Werd-de Gruijl,j.dewerd-degruijl@student.roc.nl,19,M,MBO niveau 2,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.977,0.917,48,5.9,6.9,Mohammed Boukhari,m.boukhari@roc.nl
20240101,Emir Cornelisse-Post,e.cornelisse-post@student.roc.nl,20,V,VMBO-T,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.539,0.548,31,6.1,6.6,Fatima El Amrani,f.elamrani@roc.nl
20240102,Hanna Glasses,h.glasses@student.roc.nl,20,M,VMBO-T,Dienstverlening,Kok,25185,2024-2025,2,BOL,2024-09-01,0.87,0.775,43,8.0,3.0,Mohammed Boukhari,m.boukhari@roc.nl
20240103,Lina de Vrome,l.devrome@student.roc.nl,23,V,HAVO,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.708,0.593,27,7.2,2.9,Fatima El Amrani,f.elamrani@roc.nl
20240104,Elif van Limburg,e.vanlimburg@student.roc.nl,20,V,MBO niveau 2,Economie,Commercieel medewerker,90111,2024-2025,3,BOL,2024-09-01,0.797,0.789,45,4.6,7.4,Peter Smit,p.smit@roc.nl
20240105,Mohamed van der Strigt,m.vanderstrigt@student.roc.nl,16,M,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BBL,2024-09-01,0.797,0.771,43,7.2,6.0,Anita Jansen,a.jansen@roc.nl
20240106,Joy van de Biesenbos,j.vandebiesenbos@student.roc.nl,21,M,MBO niveau 3,Zorg,Verzorgende IG,93500,2024-2025,3,BOL,2024-09-01,0.666,0.682,37,7.7,5.5,Mohammed Boukhari,m.boukhari@roc.nl
20240107,Milan van Breugel,m.vanbreugel@student.roc.nl,16,V,VMBO-K,Zorg,Helpende Zorg & Welzijn,92640,2024-2025,2,BOL,2024-09-01,0.684,0.681,39,3.9,6.6,Anita Jansen,a.jansen@roc.nl
20240108,Liv van den Hoek,l.vandenhoek@student.roc.nl,20,V,VMBO-K,Techniek,Netwerkbeheerder,93200,2024-2025,4,BOL,2024-09-01,0.572,0.61,38,5.0,7.7,Fatima El Amrani,f.elamrani@roc.nl
20240109,Owen de Nijs,o.denijs@student.roc.nl,25,M,VMBO-T,Techniek,Software Developer,25604,2024-2025,4,BOL,2024-09-01,0.623,0.659,35,7.7,4.3,Jan de Vries,j.devries@roc.nl
20240110,Thijmen van Suinvorde-Verbruggen,t.vansuinvorde-verbruggen@student.roc.nl,20,M,VMBO-B,Techniek,Software Developer,25604,2024-2025,4,BBL,2024-09-01,0.685,0.693,35,5.9,5.4,Jan de Vries,j.devries@roc.nl
20240111,Jim Charon,j.charon@student.roc.nl,21,V,VMBO-K,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.831,0.819,38,7.7,5.0,Anita Jansen,a.jansen@roc.nl
20240112,Lena 's Gravensande,l.'sgravensande@student.roc.nl,19,V,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BOL,2024-09-01,0.401,0.534,36,6.7,2.8,Peter Smit,p.smit@roc.nl
20240113,Lizz Schuylenborch-van Landen,l.schuylenborch-vanlanden@student.roc.nl,23,M,MBO niveau 3,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.945,0.946,48,6.6,5.6,Mohammed Boukhari,m.boukhari@roc.nl
20240114,Johannes Blonk-van Spreuwel,j.blonk-vanspreuwel@student.roc.nl,21,M,VMBO-B,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.673,0.783,44,6.7,6.6,Anita Jansen,a.jansen@roc.nl
20240115,Floortje Groote,f.groote@student.roc.nl,22,V,VMBO-T,Dienstverlening,Gastvrouw/-heer,90191,2024-2025,3,BBL,2024-09-01,0.274,0.334,18,6.2,7.2,Peter Smit,p.smit@roc.nl
20240116,Bilal Marchand,b.marchand@student.roc.nl,21,V,VMBO-T,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.54,0.509,24,4.1,6.2,Peter Smit,p.smit@roc.nl
